6707, 0.00, 0.00, 0.00, 0.00, 0.00  |  0.00, 0.00, 0.00, 0.00, 0.00
Kp = 3E-7
Ki = 1E-11
Setting left:  30
2700.00
24332, 3103.28, 2700.00, -403.28, 76616336.00, 22.98  |  960.58, 0.00, 0.00, 0.00, 0.00
24435, 3024.07, 2700.00, -324.07, 76379376.00, 22.91  |  1088.57, 0.00, 0.00, 0.00, 0.00
24538, 2384.59, 2700.00, 315.41, 76423432.00, 22.92  |  769.56, 0.00, 0.00, 0.00, 0.00
24641, 2418.03, 2700.00, 281.97, 76553832.00, 22.96  |  913.01, 0.00, 0.00, 0.00, 0.00
24744, 2620.82, 2700.00, 79.18, 76649984.00, 22.99  |  913.01, 0.00, 0.00, 0.00, 0.00
24848, 2658.73, 2700.00, 41.27, 76675096.00, 23.00  |  734.88, 0.00, 0.00, 0.00, 0.00
24951, 2634.91, 2700.00, 65.09, 76709624.00, 23.01  |  819.03, 0.00, 0.00, 0.00, 0.00
25054, 2640.19, 2700.00, 59.81, 76752728.00, 23.02  |  809.95, 0.00, 0.00, 0.00, 0.00
25157, 2434.27, 2700.00, 265.73, 76861848.00, 23.06  |  733.59, 0.00, 0.00, 0.00, 0.00
25260, 2191.64, 2700.00, 508.36, 77060112.00, 23.11  |  733.59, 0.00, 0.00, 0.00, 0.00
25363, 1963.71, 2700.00, 736.29, 77290128.00, 23.18  |  722.21, 0.00, 0.00, 0.00, 0.00
25466, 2162.44, 2700.00, 537.56, 77633528.00, 23.29  |  686.49, 0.00, 0.00, 0.00, 0.00
25569, 1924.41, 2700.00, 775.59, 77959472.00, 23.38  |  686.49, 0.00, 0.00, 0.00, 0.00
25672, 1958.94, 2700.00, 741.06, 78278136.00, 23.48  |  548.62, 0.00, 0.00, 0.00, 0.00
25775, 2120.62, 2700.00, 579.38, 78627360.00, 23.59  |  653.54, 0.00, 0.00, 0.00, 0.00
25878, 1945.68, 2700.00, 754.32, 78927888.00, 23.68  |  653.54, 0.00, 0.00, 0.00, 0.00
25981, 1977.38, 2700.00, 722.62, 79242016.00, 23.77  |  650.13, 0.00, 0.00, 0.00, 0.00
26085, 1988.39, 2700.00, 711.61, 79623216.00, 23.88  |  650.13, 0.00, 0.00, 0.00, 0.00
26188, 2001.28, 2700.00, 698.72, 79972592.00, 23.99  |  545.55, 0.00, 0.00, 0.00, 0.00
